"","code","month_year","employment","province"
"1",1,2009-01-01,92070,"Azuay"
"2",1,2009-02-01,93858,"Azuay"
"3",1,2009-03-01,94311,"Azuay"
"4",1,2009-04-01,94795,"Azuay"
"5",1,2009-05-01,95521,"Azuay"
"6",1,2009-06-01,95687,"Azuay"
"7",1,2009-07-01,95661,"Azuay"
"8",1,2009-08-01,95145,"Azuay"
"9",1,2009-09-01,97656,"Azuay"
"10",1,2009-10-01,98705,"Azuay"
"11",1,2009-11-01,99248,"Azuay"
"12",1,2009-12-01,99166,"Azuay"
"13",1,2010-01-01,99642,"Azuay"
"14",1,2010-02-01,98150,"Azuay"
"15",1,2010-03-01,99693,"Azuay"
"16",1,2010-04-01,100998,"Azuay"
"17",1,2010-05-01,102563,"Azuay"
"18",1,2010-06-01,103998,"Azuay"
"19",1,2010-07-01,104611,"Azuay"
"20",1,2010-08-01,105474,"Azuay"
"21",1,2010-09-01,107421,"Azuay"
"22",1,2010-10-01,109258,"Azuay"
"23",1,2010-11-01,110609,"Azuay"
"24",1,2010-12-01,110981,"Azuay"
"25",1,2011-01-01,112012,"Azuay"
"26",1,2011-02-01,113123,"Azuay"
"27",1,2011-03-01,114432,"Azuay"
"28",1,2011-04-01,116075,"Azuay"
"29",1,2011-05-01,119272,"Azuay"
"30",1,2011-06-01,122261,"Azuay"
"31",1,2011-07-01,124302,"Azuay"
"32",1,2011-08-01,125409,"Azuay"
"33",1,2011-09-01,127740,"Azuay"
"34",1,2011-10-01,129666,"Azuay"
"35",1,2011-11-01,130989,"Azuay"
"36",1,2011-12-01,131847,"Azuay"
"37",1,2012-01-01,133630,"Azuay"
"38",1,2012-02-01,133738,"Azuay"
"39",1,2012-03-01,135592,"Azuay"
"40",1,2012-04-01,136925,"Azuay"
"41",1,2012-05-01,138317,"Azuay"
"42",1,2012-06-01,139117,"Azuay"
"43",1,2012-07-01,139874,"Azuay"
"44",1,2012-08-01,140620,"Azuay"
"45",1,2012-09-01,141455,"Azuay"
"46",1,2012-10-01,142583,"Azuay"
"47",1,2012-11-01,144364,"Azuay"
"48",1,2012-12-01,144113,"Azuay"
"49",1,2013-01-01,154479,"Azuay"
"50",1,2013-02-01,154686,"Azuay"
"51",1,2013-03-01,155854,"Azuay"
"52",1,2013-04-01,157662,"Azuay"
"53",1,2013-05-01,158370,"Azuay"
"54",1,2013-06-01,159118,"Azuay"
"55",1,2013-07-01,159653,"Azuay"
"56",1,2013-08-01,159845,"Azuay"
"57",1,2013-09-01,160890,"Azuay"
"58",1,2013-10-01,162421,"Azuay"
"59",1,2013-11-01,162639,"Azuay"
"60",1,2013-12-01,162905,"Azuay"
"61",1,2014-01-01,163180,"Azuay"
"62",1,2014-02-01,163289,"Azuay"
"63",1,2014-03-01,164296,"Azuay"
"64",1,2014-04-01,165361,"Azuay"
"65",1,2014-05-01,166078,"Azuay"
"66",1,2014-06-01,165734,"Azuay"
"67",1,2014-07-01,165943,"Azuay"
